"Order ID",Category,Amount,ship-city,Status
408-0391626-7002737,kurta,0,THANE,"Shipped - Returned to Seller"
406-1229485-5046751,Set,636,CHENNAI,"Shipped - Returned to Seller"
405-4969432-3413936,Top,377,LUCKNOW,"Shipped - Returned to Seller"
408-6176421-4673963,"Western Dress",859,MUMBAI,"Shipped - Returned to Seller"
407-7518897-4138765,Set,597,Banglore,"Shipped - Returned to Seller"
403-0631932-8326700,Set,1186,"Ashiana nagar Patna","Shipped - Returned to Seller"
404-3978926-5253912,Set,1099,"Haldaur district Bijnor","Shipped - Returned to Seller"
403-2483448-0575558,kurta,442,Bhogapuram,"Shipped - Returned to Seller"
404-9847578-3516356,Set,759,"Madanapalli Chittoor","Shipped - Returned to Seller"
403-0163678-5955563,Set,684,"Greater noida West","Shipped - Returned to Seller"
171-9945939-4975536,kurta,353,Hyderabad,"Shipped - Returned to Seller"
405-7429146-5389920,kurta,368,GHAZIABAD,"Shipped - Returned to Seller"
404-0390672-4434716,Set,969,"VALLAM THANJAVUR DISTRICT","Shipped - Returned to Seller"
406-0125374-8863509,Set,1200,BHUBANESWAR,"Shipped - Returned to Seller"
406-8862902-7465900,kurta,280,GANDHINAGAR,"Shipped - Returned to Seller"
171-3278050-1997128,kurta,499,BENGALURU,"Shipped - Returned to Seller"
407-2592903-2137164,"Western Dress",825,VIJAPURA,"Shipped - Returned to Seller"
171-7868323-6609911,Set,597,RAJKOT,"Shipped - Returned to Seller"
408-1453329-5680354,Set,751,MUMBAI,"Shipped - Returned to Seller"
403-6621088-7907516,kurta,357,"ALAMCODE Vanchiyoor THIRUVANANTHAPURAM DISTRICT","Shipped - Returned to Seller"
407-3940696-8320367,Set,1186,JAMSHEDPUR,"Shipped - Returned to Seller"
403-3407654-1970762,kurta,597,AMRITSAR,"Shipped - Returned to Seller"
404-1503945-8489923,Set,967,SRINAGAR,"Shipped - Returned to Seller"
406-4516210-3680350,kurta,549,KATIHAR,"Shipped - Returned to Seller"
405-7469305-0115504,Set,684,HYDERABAD,"Shipped - Returned to Seller"
408-9571896-1654722,kurta,419,CHENNAI,"Shipped - Returned to Seller"
408-9917660-0137138,Set,1149,SECUNDERABAD,"Shipped - Returned to Seller"
406-0227343-5709961,Top,540,Pune,"Shipped - Returned to Seller"
402-3868691-8260367,kurta,295,Indore,"Shipped - Returned to Seller"
402-0378624-3831552,kurta,329,"PAL CHAURAI","Shipped - Returned to Seller"
408-9324111-7319511,Top,540,AHMEDABAD,"Shipped - Returned to Seller"
171-9908326-9690759,Set,499,PUNE,"Shipped - Returned to Seller"
408-0572962-2259546,kurta,685,"NAVI MUMBAI","Shipped - Returned to Seller"
407-5394924-9121153,Set,597,Sawantwadi,"Shipped - Returned to Seller"
171-1475517-8405938,"Western Dress",899,SIDDHAUR,"Shipped - Returned to Seller"
403-0368542-2010725,Set,852,"NEW DELHI","Shipped - Returned to Seller"
405-7964100-9839530,"Ethnic Dress",999,BALANGIR,"Shipped - Returned to Seller"
408-3222761-4601908,Set,995,MUMBAI,"Shipped - Returned to Seller"
407-3661911-2893909,Set,1338,CHANDIGARH,"Shipped - Returned to Seller"
171-8464243-0487546,Set,563,HYDERABAD,"Shipped - Returned to Seller"
408-1575454-3263526,"Western Dress",690,CHENNAI,"Shipped - Returned to Seller"
171-7279221-8152349,Set,629,TIRUR,"Shipped - Returned to Seller"
402-7943675-2922734,Set,1463,Koraput,"Shipped - Returned to Seller"
403-5358661-0626714,kurta,459,POOTHAKKULAM,"Shipped - Returned to Seller"
171-8084196-6067563,kurta,517,GHAZIABAD,"Shipped - Returned to Seller"
408-6584068-5097909,kurta,459,HISAR,"Shipped - Returned to Seller"
405-6388122-6059534,kurta,475,"BINPUR I","Shipped - Returned to Seller"
405-8798943-8721115,kurta,544,Vemulawada,"Shipped - Returned to Seller"
404-1604636-8246751,kurta,299,Coimbatore,"Shipped - Returned to Seller"
171-7687960-9377156,Set,597,"NAVI MUMBAI","Shipped - Returned to Seller"
408-3755405-6899551,kurta,517,PATNA,"Shipped - Returned to Seller"
402-5174957-8962712,kurta,399,UDMA,"Shipped - Returned to Seller"
407-8712069-4234757,Set,824,MAHBUBNAGAR,"Shipped - Returned to Seller"
171-8190916-2689115,"Western Dress",625,KANGRA,"Shipped - Returned to Seller"
405-7372657-4128357,Set,759,HYDERABAD,"Shipped - Returned to Seller"
404-0605469-0913962,Set,654,Vaishali,"Shipped - Returned to Seller"
403-3393559-7745137,"Western Dress",453,AIZAWL,"Shipped - Returned to Seller"
171-4791946-1831507,Set,597,"NEW DELHI","Shipped - Returned to Seller"
406-4606011-6886766,kurta,399,PUNE,"Shipped - Returned to Seller"
408-1689943-3989117,kurta,517,HISAR,"Shipped - Returned to Seller"
402-2439676-0913919,kurta,318,SECUNDERABAD,"Shipped - Returned to Seller"
402-6415430-6668326,kurta,517,BANDIPUR,"Shipped - Returned to Seller"
405-2351529-1369942,Set,597,AZHIYUR,"Shipped - Returned to Seller"
171-2195627-2457933,Set,999,SRINAGAR,"Shipped - Returned to Seller"
402-9180739-9610724,Set,563,CHALAKUDY,"Shipped - Returned to Seller"
408-8201010-8353108,kurta,362,CHENNAI,"Shipped - Returned to Seller"
408-4041519-5343521,kurta,533,NADIA,"Shipped - Returned to Seller"
406-9682785-2315538,Set,1213,PUNE,"Shipped - Returned to Seller"
405-5829772-3017905,kurta,475,BENGALURU,"Shipped - Returned to Seller"
402-7954206-3729142,Set,563,Saoner,"Shipped - Returned to Seller"
405-6771850-3991520,Set,1432,faridabad,"Shipped - Returned to Seller"
404-4316254-8289930,Set,680,PUNE,"Shipped - Returned to Seller"
407-6366747-8833902,kurta,475,SANGAREDDY,"Shipped - Returned to Seller"
407-0717752-0599559,Set,725,BELAGAVI,"Shipped - Returned to Seller"
405-0860245-2285150,kurta,319,Guntur,"Shipped - Returned to Seller"
402-7245649-8137927,"Western Dress",744,Mumbai,"Shipped - Returned to Seller"
402-9521259-0941153,Set,1099,BENGALURU,"Shipped - Returned to Seller"
407-3083828-4153154,kurta,399,"Sangli Miraj Kupwad","Shipped - Returned to Seller"
408-6823642-2199501,kurta,534,PARAVAI,"Shipped - Returned to Seller"
402-0116330-3106749,kurta,487,KHARGONE,"Shipped - Returned to Seller"
408-4907492-1998704,kurta,484,Bharuch,"Shipped - Returned to Seller"
171-3078638-4611566,Set,654,DEHRADUN,"Shipped - Returned to Seller"
403-1123573-5461951,kurta,495,Kolaghat,"Shipped - Returned to Seller"
402-7354964-6098748,kurta,459,MANCHERIAL,"Shipped - Returned to Seller"
403-4375899-4275525,kurta,499,THANE,"Shipped - Returned to Seller"
408-7796750-4117112,Set,666,BENGALURU,"Shipped - Returned to Seller"
403-0703285-6953163,Set,969,RISHIKESH,"Shipped - Returned to Seller"
404-3031763-0340326,Set,852,HANUMANGARH,"Shipped - Returned to Seller"
404-5677177-3111532,Set,1115,NAMCHI,"Shipped - Returned to Seller"
405-7732970-3958760,Set,969,GHAZIABAD,"Shipped - Returned to Seller"
402-1852203-7640352,Set,1281,HYDERABAD,"Shipped - Returned to Seller"
402-2232127-3403549,kurta,442,"CHITTUR THATHAMANGALAM","Shipped - Returned to Seller"
403-9786387-7717140,Set,852,VISAKHAPATNAM,"Shipped - Returned to Seller"
403-1263567-8735508,Set,563,KANNIYAKUMARI,"Shipped - Returned to Seller"
171-7777080-3534769,kurta,363,BHUBANESWAR,"Shipped - Returned to Seller"
403-3977835-7477961,"Western Dress",665,MUMBAI,"Shipped - Returned to Seller"
408-9401250-1287515,Set,1099,Pune,"Shipped - Returned to Seller"
403-8705524-1071507,"Western Dress",625,AMRITSAR,"Shipped - Returned to Seller"
407-9230154-1549143,kurta,475,KOLKATA,"Shipped - Returned to Seller"
407-6562161-8597124,kurta,579,CUTTACK,"Shipped - Returned to Seller"
405-4633739-0529165,kurta,499,KOLKATA,"Shipped - Returned to Seller"
407-3081973-1148319,Set,888,"GANJ DUNDWARA","Shipped - Returned to Seller"
403-7640402-0245114,Set,1133,PATNA,"Shipped - Returned to Seller"
403-8680645-1872330,kurta,459,Hyderabad,"Shipped - Returned to Seller"
405-2128944-2588339,Set,654,PUNE,"Shipped - Returned to Seller"
406-4002334-0825925,"Western Dress",825,JAMSHEDPUR,"Shipped - Returned to Seller"
407-7942329-7922707,Set,1099,BENGALURU,"Shipped - Returned to Seller"
403-3494997-7405950,kurta,316,PUDUCHERRY,"Shipped - Returned to Seller"
405-0393721-1615527,Set,692,Srinagar,"Shipped - Returned to Seller"
171-2996437-0019527,kurta,517,SIRCILLA,"Shipped - Returned to Seller"
407-4501271-1234753,"Western Dress",885,NAGAON,"Shipped - Returned to Seller"
407-0489263-9354761,Set,999,GURUGRAM,"Shipped - Returned to Seller"
407-2834376-0517937,kurta,517,KASARAGOD,"Shipped - Returned to Seller"
407-7866957-3781935,Set,684,MANDI,"Shipped - Returned to Seller"
403-0207606-4232346,kurta,399,NELLORE,"Shipped - Returned to Seller"
402-4323261-9243548,"Western Dress",807,GHAZIABAD,"Shipped - Returned to Seller"
405-5148693-8272366,kurta,399,NASHIK,"Shipped - Returned to Seller"
408-6289352-1021968,Set,1115,Aligarh,"Shipped - Returned to Seller"
407-5019778-5987501,kurta,345,"SONAPUR GAON","Shipped - Returned to Seller"
171-1221873-4417966,Set,599,"Thane west","Shipped - Returned to Seller"
406-0517911-4432318,Top,540,DEHRADUN,"Shipped - Returned to Seller"
403-2737521-6353908,kurta,353,"Sikandra rao","Shipped - Returned to Seller"
407-7233247-9837166,kurta,495,MALAPPURAM,"Shipped - Returned to Seller"
171-1675634-2128325,Set,1204,CHENNAI,"Shipped - Returned to Seller"
402-4714743-6075528,"Western Dress",725,TEZPUR,"Shipped - Returned to Seller"
406-8309596-2073900,"Ethnic Dress",845,HYDERABAD,"Shipped - Returned to Seller"
405-7025552-6291514,Set,696,"Chikamagulur district","Shipped - Returned to Seller"
403-0366777-4735529,Set,525,GURUGRAM,"Shipped - Returned to Seller"
408-3129496-7261134,Top,599,MOONNIYUR,"Shipped - Returned to Seller"
405-5046877-1861168,kurta,342,NELLORE,"Shipped - Returned to Seller"
403-5049394-2879569,Set,852,Saligrama,"Shipped - Returned to Seller"
402-5763860-4857921,kurta,517,PADRAUNA,"Shipped - Returned to Seller"
171-3247180-6243518,"Western Dress",625,AMRITSAR,"Shipped - Returned to Seller"
171-7104358-7793964,Top,518,KOLKATA,"Shipped - Returned to Seller"
404-6848265-1560358,Top,523,BARASAT,"Shipped - Returned to Seller"
405-2387799-3017957,kurta,487,BENGALURU,"Shipped - Returned to Seller"
171-1378949-0890755,Set,696,THANE,"Shipped - Returned to Seller"
408-6541761-0392366,Set,888,"NEW DELHI","Shipped - Returned to Seller"
171-3009415-1720344,Set,684,JORHAT,"Shipped - Returned to Seller"
404-2402592-2469908,Set,654,"LMS junction,Attingal,Trivandrum","Shipped - Returned to Seller"
405-7319867-6145102,Set,666,KAMAREDDY,"Shipped - Returned to Seller"
406-8914416-7534711,Set,999,NAGPUR,"Shipped - Returned to Seller"
402-3604771-7931526,kurta,291,CHENNAI,"Shipped - Returned to Seller"
405-9551404-0505117,Set,1099,PITHORAGARH,"Shipped - Returned to Seller"
171-6685519-3162702,Top,545,"PIMPRI CHINCHWAD","Shipped - Returned to Seller"
407-5627278-0623562,Set,582,FARIDABAD,"Shipped - Returned to Seller"
406-9632919-5553944,Set,916,MARIGAON,"Shipped - Returned to Seller"
403-4577277-5051509,kurta,562,AHMEDABAD,"Shipped - Returned to Seller"
402-5793741-8523554,Set,626,Dhanbad,"Shipped - Returned to Seller"
408-1244865-8221118,"Western Dress",744,PERINTHALMANNA,"Shipped - Returned to Seller"
404-2734682-0757158,"Western Dress",885,GUWAHATI,"Shipped - Returned to Seller"
404-0846545-4343563,kurta,533,TALIKOTA,"Shipped - Returned to Seller"
407-8125415-4756322,Set,888,"NEW DELHI","Shipped - Returned to Seller"
