"Order ID",Category,Qty,Amount
404-9396326-7233962,Set,1,1388
403-8050149-7997962,Set,1,1299
403-6255864-4069924,Set,1,1299
404-2898868-5598705,Set,1,1254
407-2924667-8108306,Set,1,1238
406-5613958-6840356,Set,1,1213
171-1675634-2128325,Set,1,1204
403-1709662-4108354,Set,1,1201
405-4004768-6858711,Set,1,1186
408-1572881-6760347,Set,1,1186
